Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
217                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
218                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
219                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
220                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
221                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
222                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
223                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
224                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
225                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
226                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
227                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
228                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
229                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
230                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
231                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
232                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
233                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
234                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
235                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
236                 ,93084 31761 51429 64885                           ,89208               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 94493
237                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
238                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
239                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
240                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
241                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
242                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
243                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
244                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
245                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
246                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
247                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
248                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
249                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
250                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
251                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
252                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
253                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
254                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
255                 ,31761 51429 64885                                 ,93084               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 94493
256                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
257                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
258                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
259                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
260                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
261                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
262                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
263                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
264                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
265                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
266                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
267                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
268                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
269                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
270                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
271                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
272                 ,51429 64885                                       ,31761               ,26827 29795 41859 42129 49812 53922 54613 64546 82728 89208 93084 94493
